customer_id,customer_name,customer_age,customer_gender,customer_city,customer_state,customer_country,customer_income,date_of_registration,preferred_contact_method,customer_phone,customer_email,Customer_Satisfaction,CustomerEducation,CustomerCategory
CUST000001,Eddie Allen,56,Female,Barberchester,Washington,USA,51451,06-02-2023,Email,238-396-6800,jennifer12@example.net,10,Doctorate,Corporate
CUST000002,Matthew Jones,69,Male,Josephmouth,New Hampshire,Germany,65909,05-02-2015,SMS,001-656-346-6799x9064,gabrielberry@example.org,5,Postgraduate,Corporate
CUST000003,Mary Thompson,46,Male,Leechester,Oklahoma,Germany,73091,29-11-2018,Phone,-7196,mmayer@example.com,4,Doctorate,Corporate
CUST000004,Christina Matthews,32,Other,Jenniferbury,Washington,USA,77389,19-05-2016,Email,7403555656,rodriguezjoshua@example.net,2,Graduate,Corporate
CUST000005,Pamela Brown,60,Female,Lake Moniquemouth,Pennsylvania,Germany,65963,27-01-2017,Email,+1-895-950-7196x995,smoon@example.com,7,Doctorate,Corporate
CUST000006,Carolyn Montes,25,Male,Natalieberg,Indiana,Canada,79734,11-10-2024,Email,914-741-8114,david44@example.org,8,Undergraduate,Corporate
CUST000007,Angela Swanson,38,Other,Lisaberg,Colorado,India,113208,03-09-2015,Phone,+1-650-419-2534x13469,rgordon@example.net,9,Undergraduate,Corporate
CUST000008,Anthony Hammond,56,Other,South Jamieberg,Illinois,USA,131660,06-06-2020,Email,001-301-394-9216x564,michael16@example.com,4,Graduate,Corporate
CUST000009,Mr. Michael Moss,36,Male,North Jamesburgh,New Mexico,UK,103167,22-11-2023,Phone,622-240-3675,yrodriguez@example.org,9,Undergraduate,Corporate
CUST000010,Andrew Price,40,Male,North Carolmouth,Georgia,USA,90509,27-05-2018,Email,+1-496-773-0795x3810,cody65@example.com,8,Doctorate,Corporate
CUST000011,Cathy Hampton,28,Female,West Laurachester,Massachusetts,Canada,125201,03-03-2017,Phone,001-653-676-8018,susan50@example.com,5,Postgraduate,Corporate
CUST000012,Scott Mitchell,28,Female,Robertberg,Rhode Island,UK,57291,29-08-2023,SMS,(985)558-5121x539,ecosta@example.net,6,Postgraduate,Corporate
CUST000013,Robin Harrington,41,Female,Port Carrieland,Tennessee,India,46817,16-03-2020,Phone,001-629-490-7117x060,bschwartz@example.net,5,Undergraduate,Corporate
CUST000014,Joel Wallace DVM,70,Female,Lake Duane,Connecticut,Germany,101968,10-10-2022,SMS,417-264-3794x77325,benjamin92@example.net,2,Doctorate,Corporate
CUST000015,Janice Cowan,53,Female,Lisaland,Delaware,USA,109487,21-01-2020,Email,431.226.0321x29328,marisa57@example.com,6,Undergraduate,Corporate
CUST000016,Robert Johnson,57,Male,New Jessefort,Delaware,UK,98666,03-11-2024,Phone,-6238,wendy89@example.org,2,Undergraduate,Corporate
CUST000017,William Baker,41,Female,East Brianmouth,New Jersey,USA,145405,14-01-2018,Email,001-796-795-4849x35518,nlong@example.net,3,Graduate,Corporate
CUST000018,Christopher Cook,20,Male,North Jessica,Indiana,India,135003,29-01-2017,SMS,367-863-2419,marcgarcia@example.org,8,Undergraduate,Corporate
CUST000019,Jodi Humphrey,39,Female,Liton,South Dakota,USA,113672,10-06-2022,Email,001-877-962-5130x56105,fraziermichelle@example.org,3,Undergraduate,Corporate
CUST000020,Christina Jensen,70,Female,Loriland,Arkansas,UK,27559,06-05-2024,Email,625.529.9904,dstewart@example.net,4,Graduate,Corporate
CUST000021,Jeremy Snyder,19,Male,Port Tanya,Kansas,Canada,39744,19-06-2022,Email,353.475.9289x81561,christopher90@example.com,8,Graduate,Corporate
CUST000022,Cody Gentry,41,Female,Ruizport,Washington,UK,56155,23-03-2024,SMS,260.401.5327x69681,ebrown@example.net,6,Undergraduate,Corporate
CUST000023,Sharon Diaz,61,Male,Rojasmouth,Delaware,USA,132834,14-10-2024,SMS,+1-842-658-4413x9324,qfrost@example.net,8,Doctorate,Corporate
CUST000024,Jill Giles,47,Male,South Christopherview,Delaware,India,46021,13-04-2019,Phone,914.580.9989x69096,rodriguezmichael@example.org,7,Doctorate,Corporate
CUST000025,John Rodriguez,55,Female,Williamsshire,New Mexico,Germany,107532,26-10-2020,Phone,001-668-404-5800x019,meyersabrina@example.com,9,Doctorate,Corporate
CUST000026,Jerry Burgess Jr.,19,Male,North Erica,Mississippi,Germany,81898,06-01-2016,Phone,2274432549,phunter@example.com,8,Doctorate,Corporate
CUST000027,Jessica Martinez,38,Female,Deborahshire,Ohio,India,103723,08-10-2015,Phone,001-723-598-5342x1572,melissa74@example.com,2,Postgraduate,Corporate
CUST000028,Lisa Little MD,50,Male,West Jason,Connecticut,USA,76036,04-11-2019,Email,674-978-8714x590,charles18@example.net,5,Doctorate,Corporate
CUST000029,Stephanie West,29,Female,West Daniellebury,Louisiana,India,78176,26-01-2022,SMS,350-559-4165x5390,joellee@example.net,7,Postgraduate,Corporate
CUST000030,Erik Townsend,39,Female,East Maria,Ohio,USA,126438,11-12-2021,SMS,857.852.9369x2014,thomasoconnor@example.org,4,Graduate,Corporate
CUST000031,Ashley Whitney,61,Female,Carolburgh,Illinois,UK,83399,11-10-2021,Email,3732641236,pherrera@example.org,1,Undergraduate,Corporate
CUST000032,Catherine Atkinson,42,Female,West Stephen,Oregon,Canada,43006,05-10-2023,Phone,-4467,gary04@example.org,3,Graduate,Corporate
CUST000033,Craig Mcintyre,66,Female,Jamesburgh,Missouri,USA,106911,24-02-2022,SMS,844.263.7948x866,ymartin@example.org,8,Doctorate,Corporate
CUST000034,Elizabeth Barnett,44,Male,Lake Tinabury,Florida,Germany,77434,23-06-2021,Email,7952470236,david88@example.com,3,Postgraduate,Corporate
CUST000035,Andrea Barnes,59,Male,Port Kathymouth,Massachusetts,Germany,120694,26-10-2016,Email,+1-331-818-7526x460,ibrandt@example.org,5,Undergraduate,Corporate
CUST000036,Amanda Foster,45,Male,Davilaview,Nevada,Canada,142298,20-12-2014,Phone,6017568637,ggill@example.com,10,Graduate,Corporate
CUST000037,Gregory Walker,33,Male,Millerville,Michigan,USA,138214,06-04-2019,Phone,001-770-403-1267x2159,sandrapadilla@example.net,2,Graduate,Corporate
CUST000038,Danielle Knox,32,Female,New David,New Mexico,Canada,89591,13-09-2024,SMS,-6347,jenniferflores@example.net,2,Doctorate,Corporate
CUST000039,Gabriella Thomas,64,Male,East Chris,Georgia,UK,28069,30-04-2016,SMS,4742655525,martineznicholas@example.com,4,Graduate,Corporate
CUST000040,Pamela Melton,68,Female,Emilyborough,Wyoming,Canada,31486,09-04-2015,Phone,001-543-865-7640x0714,hbolton@example.com,9,Graduate,Corporate
CUST000041,Dr. Adrian Hahn,61,Female,West Heathershire,Maryland,UK,108175,14-05-2015,SMS,+1-254-617-2286x0612,tiffanysims@example.org,1,Doctorate,Corporate
CUST000042,Elizabeth Carroll,72,Male,Delgadofurt,Wyoming,Germany,90389,14-07-2019,Phone,001-749-722-2990x833,kimberlyjacobson@example.org,3,Postgraduate,Corporate
CUST000043,Douglas Braun,69,Female,Kellyport,Minnesota,UK,60428,02-03-2024,Email,(764)433-2255x9669,parkerryan@example.net,4,Doctorate,Corporate
CUST000044,Alicia Ramirez,74,Male,Sellersshire,Oklahoma,USA,53800,18-01-2016,Email,-10155,gilbertmatthew@example.org,9,Graduate,Corporate
CUST000045,Howard Werner,20,Female,West Jamiefort,New Mexico,USA,116154,19-12-2018,Email,-4276,tracywright@example.org,2,Graduate,Corporate
CUST000046,Samantha Carter,54,Male,South Matthewtown,Louisiana,USA,62220,17-01-2021,SMS,574.751.3480x61737,john10@example.org,9,Doctorate,Corporate
CUST000047,Victoria Quinn,68,Female,Gutierreztown,Wisconsin,USA,149322,15-07-2018,Phone,001-218-643-5653x800,schultzmegan@example.com,10,Undergraduate,Corporate
CUST000048,Bruce Johnson,24,Other,New Cindy,Massachusetts,India,81254,23-11-2023,Email,561-286-4881,blackpatricia@example.org,7,Doctorate,Corporate
CUST000049,Jessica Bryan,38,Male,Donaldfurt,Ohio,UK,36869,13-12-2023,Email,538-226-3274,jessicahancock@example.com,8,Postgraduate,Corporate
CUST000050,Jason Shelton,26,Male,Lake Brittanyport,Nebraska,USA,29176,21-03-2020,SMS,(920)593-9788,anthony35@example.net,3,Undergraduate,Corporate
CUST000051,Thomas Blankenship,56,Female,Peggyborough,Iowa,Canada,61454,21-05-2018,SMS,3414581805,brownrobin@example.net,6,Undergraduate,Corporate
CUST000052,Matthew Gregory,35,Male,Amandastad,Kansas,Canada,117016,03-03-2016,Email,(212)271-9910x3546,murphydonald@example.org,6,Graduate,Corporate
CUST000053,Kenneth Crawford,21,Female,North Robin,New Jersey,India,122036,08-09-2023,SMS,8012487930,thomas22@example.com,4,Graduate,Corporate
CUST000054,Madison Bennett,42,Female,Brownstad,Maine,UK,95773,07-08-2023,SMS,379.447.9796x3699,lisabrewer@example.net,8,Undergraduate,Corporate
CUST000055,Cindy Christensen,31,Male,West Amanda,Michigan,UK,51453,02-08-2016,SMS,959-275-2492x36728,dduke@example.com,4,Doctorate,Corporate
CUST000056,Craig Steele,67,Female,Lake Susanview,Missouri,UK,81813,23-11-2015,SMS,783-749-6617x29309,nporter@example.net,5,Graduate,Corporate
CUST000057,Robert Brown,26,Female,West Elizabethburgh,Arizona,India,91326,06-05-2018,Phone,001-571-969-4726x9024,jamesrivera@example.org,9,Postgraduate,Corporate
CUST000058,Abigail Richardson,43,Female,Espinozaside,Oregon,UK,72595,17-07-2020,SMS,(521)568-4420x7357,stevenlawson@example.com,6,Postgraduate,Corporate
CUST000059,Kristine Robinson,70,Female,Mcdonaldview,South Carolina,UK,137490,04-12-2024,SMS,480.232.5175x4027,lori35@example.org,5,Undergraduate,Corporate
CUST000060,Shelley Garza DDS,19,Male,New Adamland,Florida,USA,66184,23-11-2022,Phone,470-396-9328,dunnnathan@example.net,2,Doctorate,Corporate
CUST000061,Miranda Williams,37,Male,Port Shannon,Minnesota,UK,77186,02-02-2018,SMS,831-432-3874x91923,rbrooks@example.com,6,Graduate,Corporate
CUST000062,Pamela Davis,45,Other,West Jessicaborough,Wisconsin,USA,105290,05-09-2022,SMS,(389)314-0869x7874,gbaker@example.com,3,Postgraduate,Corporate
CUST000063,Kevin Hall,64,Female,Tuckerfort,Utah,USA,103603,08-10-2020,Email,537-720-9128x25467,kimberlygraham@example.org,3,Postgraduate,Corporate
CUST000064,Elizabeth Gray,24,Male,North Jeffstad,Montana,UK,41609,22-06-2020,Email,384.699.1266,josedavis@example.org,4,Undergraduate,Corporate
CUST000065,Luis Reed,61,Female,Dianamouth,Missouri,Canada,118517,25-07-2016,Email,+1-407-570-0480x70235,vrodriguez@example.net,8,Undergraduate,Corporate
CUST000066,Janet Griffin,25,Male,North Derrick,South Carolina,Germany,145036,03-11-2024,Phone,001-789-367-0849,andersonjimmy@example.org,2,Undergraduate,Corporate
CUST000067,James Wright,64,Male,Lake Brandon,Utah,Canada,146154,23-04-2016,SMS,740.817.9708x400,belljesse@example.net,4,Graduate,Corporate
CUST000068,Dale Coleman,52,Female,Mclaughlinfurt,Washington,UK,110099,15-03-2023,Phone,942.434.0348x5207,qibarra@example.net,7,Doctorate,Corporate
CUST000069,Rebecca Werner,31,Male,Kaufmanton,Iowa,UK,99539,31-07-2016,Phone,439-772-4665,amy28@example.com,9,Graduate,Corporate
CUST000070,Wesley Khan,34,Female,West Benjamin,Michigan,Canada,52068,12-09-2024,SMS,510-403-6245x85603,carterteresa@example.com,3,Doctorate,Corporate
CUST000071,James Johnson,53,Male,New Jacob,California,UK,71996,14-10-2015,SMS,382.449.4652x91025,jamesward@example.com,1,Doctorate,Corporate
CUST000072,Brian Wood,67,Female,Lake Mary,Nebraska,USA,86446,09-01-2023,Email,275-879-2464x018,gordonsean@example.org,8,Graduate,Corporate
CUST000073,Laura Johnson,57,Male,Lake Nicole,West Virginia,India,94759,26-06-2021,SMS,207.397.5579x726,charles99@example.com,2,Doctorate,Corporate
CUST000074,Michelle Silva,21,Female,Evansberg,Nevada,UK,114440,29-04-2016,Phone,200.825.7222x70035,kcortez@example.com,4,Doctorate,Corporate
CUST000075,Ronald Hunter,19,Female,Joshuabury,Wyoming,UK,61834,19-09-2020,Email,+1-584-240-4619x5744,jgardner@example.com,8,Graduate,Corporate
CUST000076,Morgan Butler,23,Male,North Daniel,Massachusetts,Canada,45746,08-05-2020,Phone,207.807.8185x18426,stephenhunter@example.net,6,Postgraduate,Corporate
CUST000077,Patrick Rodriguez,71,Female,Dianaport,Tennessee,USA,121940,28-03-2022,SMS,571.566.8868x96661,zjones@example.com,10,Postgraduate,Corporate
CUST000078,George Burns,59,Male,Gonzalezshire,Montana,Canada,46407,05-05-2024,Email,(847)478-9644x2937,timothyflores@example.org,5,Graduate,Corporate
CUST000079,Samantha Neal,21,Male,West Isaiahhaven,Maine,Canada,111229,18-10-2015,SMS,(483)486-3156x534,slewis@example.org,7,Graduate,Corporate
CUST000080,Rhonda Oliver,71,Female,Heatherton,North Carolina,UK,123550,18-06-2015,Email,(641)880-1523,jessica12@example.org,3,Graduate,Corporate
CUST000081,Matthew Miller,46,Male,Garciachester,Arkansas,USA,112657,29-02-2016,Email,216-500-7564x006,jasonschmitt@example.org,6,Graduate,Corporate
CUST000082,Stephanie Villegas,35,Female,West Ashley,Oklahoma,UK,141306,20-11-2024,Email,+1-805-782-3923x60671,katie10@example.net,6,Postgraduate,Corporate
